Sserial,Rsex,RAgeCat,Married,ChildHh,HEdQual3,eq_inc_quintiles,RClassGp,CCBELIEV,carallow,carreduc,carnod2,cartaxhi,carenvdc,plnenvt,plnuppri,Politics,Voted,actchar,actpol,govnosa2,PartyId2,leftrigh,libauth,WtFactor
290001,1,3,1,1,3,3,4,2,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,2,1,4.5,.938058705161193
290002,2,7,2,2,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,1,1,8,8,4,2,1.8,4.33333333333333,.684421357355822
290003,2,4,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,.906082138488022
290004,2,4,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,4,2,2,1.5,2.5,1.30855128432915
290005,1,7,4,2,2,4,1,8,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,3,2,3.16666666666667,.439282252469403
290006,2,2,4,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,8,8,3,8,3,3,.569572007526812
290007,1,7,2,2,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,3,2.2,4.5,.58342035116692
290008,2,5,2,2,3,1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,6,2,2.5,.579136448094616
290009,2,7,3,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,1,-1,-1,.590081939220273
290010,1,5,4,2,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,1.2,4.66666666666667,.486862067316908
290011,2,1,4,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,2,3,5,4,3.16666666666667,2.47648952258369
290012,2,1,4,2,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,2.24026627210551
290013,2,7,3,2,3,5,2,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,2,2.33333333333333,.505659149663177
290014,1,6,1,1,2,-1,1,3,5,1,1,5,2,4,2,1,-1,-1,-1,-1,4,2,3,1.37011791155126
290015,2,7,1,1,3,4,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,4,2,2,4.66666666666667,1.9396054991902
290016,2,2,1,1,3,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,8,5,3.2,4,1.13400740147328
290017,1,4,1,2,2,3,4,2,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,-1,-1,1.34024843742296
290018,2,7,3,2,3,4,-1,3,-1,-1,-1,-1,-1,-1,-1,3,1,2,5,2,1,3.6,4,.528963062393336
290019,2,3,4,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,1,4,1.2,5,.565041344580629
290020,2,1,4,1,3,-1,5,2,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,-1,-1,.869749861541868
290021,1,6,1,2,1,-1,1,3,2,2,4,4,2,4,4,1,-1,-1,-1,-1,2,2.4,3,.690509106831348
290022,2,7,3,2,4,5,5,3,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,4,8,2.8,3.33333333333333,.655750398024175
290023,1,7,1,2,4,-1,3,1,2,8,2,4,8,3,8,3,-1,-1,-1,-1,1,3.2,3.33333333333333,1.23353372918103
290024,2,4,4,2,1,-1,1,3,4,3,3,2,5,4,2,2,-1,-1,-1,-1,1,1.8,3.5,.547844564627471
290025,1,5,1,1,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,1.19344658561842
290026,2,1,4,2,1,-1,5,3,3,2,4,8,2,4,3,2,-1,-1,-1,-1,5,2.6,3.66666666666667,2.45709229298693
290027,2,3,1,2,3,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,2,5,3,2,3,2.83333333333333,1.69254261130461
290028,1,3,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,2,4,5,1,2,2,3.5,.959535403196531
290029,1,7,1,2,4,-1,1,3,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,1,-1,-1,.782701737277681
290030,2,2,1,2,1,-1,2,3,3,2,3,3,2,4,3,5,-1,-1,-1,-1,2,3,3.33333333333333,1.02300437958745
290031,2,4,2,1,2,2,1,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,2.8,4.5,.44204837726446
290032,2,5,1,1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,4,3,4,2,3.33333333333333,1.90604693012711
290033,2,2,1,1,3,1,4,-1,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,2,5,2.6,3.5,.931201736524101
290034,1,4,1,1,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,4,4,3,2,2.33333333333333,1.51871254464081
290035,1,2,4,2,1,2,2,3,-1,-1,-1,-1,-1,-1,-1,4,2,3,5,3,2,3,3,1.26964988811911
290036,2,1,1,1,2,-1,5,2,2,3,2,3,2,2,3,5,-1,-1,-1,-1,5,3,3,1.44367355566231
290037,2,5,1,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,2,2,5,2,2,2.4,2.5,1.11106445920773
290038,1,3,1,1,1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,2,5,2,3.66666666666667,.974393999866858
290039,2,2,4,2,2,-1,2,3,2,4,2,5,4,3,4,4,-1,-1,-1,-1,8,2.2,3.33333333333333,.50808086298171
290040,2,4,1,2,4,-1,3,2,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,8,-1,-1,.904996286713124
290041,1,7,4,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,4,2,2.2,2,.562515866761979
290042,2,7,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,4,4,5,6,1.8,3,1.48266904406635
290043,1,4,4,2,1,-1,1,3,3,1,5,1,1,5,1,1,-1,-1,-1,-1,6,2.6,2.83333333333333,.435089153007006
290044,2,6,4,2,4,-1,4,3,1,2,4,2,3,4,1,2,-1,-1,-1,-1,2,2.4,3.6,.48022338328446
290045,2,6,1,2,2,4,1,2,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,2.6,3,.95187439509582
290046,1,5,2,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,5,4,2,2.4,3,.494463726147231
290047,1,2,4,2,8,2,5,2,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,2.8,3.66666666666667,1.43540706119813
290048,2,3,1,1,1,-1,1,3,3,2,2,4,2,4,2,2,-1,-1,-1,-1,2,2.2,3.33333333333333,.924484513365913
290049,1,2,1,2,1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,3,1,1.8,4.83333333333333,1.29620129697559
290050,2,4,1,1,2,-1,2,3,2,3,4,2,2,2,2,3,-1,-1,-1,-1,3,4,3.83333333333333,1.41497930541752
290051,2,4,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,3,2,2.2,3.16666666666667,1.29403849194743
290052,2,3,1,1,1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,2,2,3,2.5,.640915208334673
290053,1,7,1,2,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,-1,-1,1.01909444655919
290054,2,4,1,1,2,2,1,3,-1,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,5,4,3.83333333333333,1.16674537208467
290055,2,3,1,2,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,3,3.16666666666667,.835698933407751
290056,1,4,1,2,3,-1,3,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,2,3.2,1.03978737828454
290057,2,3,1,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,3,3,3,3.16666666666667,1.56702006511199
290058,2,3,1,1,3,1,4,2,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,1,2.2,4,1.35487095244537
290059,1,7,1,2,3,2,4,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,.71111227955586
290060,1,4,3,1,2,5,1,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,3.6,3.66666666666667,1.29835466183297
290061,2,4,4,2,4,4,8,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,2,5,1,3.33333333333333,.491693461605152
290062,2,6,1,2,8,-1,4,2,3,4,3,2,1,3,4,3,-1,-1,-1,-1,4,2.6,3.83333333333333,1.0787892117214
290063,2,2,1,1,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,-1,-1,1.34386851078125
290064,2,5,1,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,5,4,1,2.8,3.16666666666667,.753183793443218
290065,2,6,2,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,4,1,2.8,3.66666666666667,.424718119486768
290066,2,7,3,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,6,1.6,2.83333333333333,.577233325141319
290067,1,7,1,2,1,4,4,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,2,3.66666666666667,.734955674832488
290068,2,7,2,2,3,4,1,2,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,1.2,4.16666666666667,.533518022172508
290069,1,3,1,2,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,.921032738134216
290070,2,7,3,2,4,-1,2,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,-1,-1,.558650194206551
290071,1,2,1,1,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,3.4,3.16666666666667,1.27615107064767
290072,1,2,1,1,3,-1,5,2,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,1.4,3.5,1.91848350396511
290073,1,4,2,2,3,-1,5,3,4,3,3,3,4,3,3,3,-1,-1,-1,-1,5,3.4,3.33333333333333,.482444879866191
290074,2,7,3,2,2,4,4,3,-1,-1,-1,-1,-1,-1,-1,3,1,8,5,2,2,3.6,4,.562896181838842
290075,1,4,1,1,3,4,5,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,5,1,2,1.6,5,1.25510637649313
290076,1,3,1,1,4,-1,3,3,5,5,2,8,2,3,3,3,-1,-1,-1,-1,2,2.4,3.66666666666667,1.55420542017215
290077,2,1,4,2,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,1.2361546146273
290078,2,7,3,2,4,-1,5,2,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,2.8,4.16666666666667,.676190224842836
290079,2,7,3,2,2,5,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,2.75,4,.569872081152057
290080,2,7,1,2,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,3,1,3.6,3.83333333333333,.637389846197971
290081,2,7,1,2,4,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,2,4,1.1107669390713
290082,2,3,2,1,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,5,2.4,3.16666666666667,.441852261585455
290083,2,6,1,2,3,-1,4,3,-1,-1,-1,-1,-1,-1,-1,2,1,9,9,9,1,2.2,4.16666666666667,.679930080040182
290084,2,2,4,2,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,3,2,2.2,1.66666666666667,1.47000683467105
290085,2,4,1,2,2,4,2,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,2,4,.718721289338839
290086,2,4,1,1,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,4,4,2,1,1.8,3.33333333333333,.797214761794748
290087,2,7,4,2,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,4,1,1,5,2,1,2.4,4,.497623668558503
290088,2,7,1,2,4,3,5,3,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,3,1,2.6,4.66666666666667,1.20126428507837
290089,2,2,4,1,3,3,5,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,6,3,3.2,.647753606144004
290090,2,7,1,2,3,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,5,1,3,3.83333333333333,1.06239596827194
290091,1,7,3,2,4,-1,3,1,4,4,2,4,2,2,3,1,-1,-1,-1,-1,1,3.4,4.16666666666667,.427313547423318
290092,2,3,2,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,3,2,2,2.33333333333333,.870294141552175
290093,2,5,1,1,3,3,2,3,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,5,1.2,4.16666666666667,1.93554777332434
290094,2,2,4,1,3,1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,9,4.8,.560894904322983
290095,1,4,1,2,2,4,3,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,-1,-1,1.95333645972317
290096,1,7,1,2,3,-1,3,2,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,4,3.4,4.5,.783990707481219
290097,2,7,1,2,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,4,-1,-1,1.13562646814027
290098,2,2,1,2,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,-1,-1,1.85264543160099
290099,2,4,1,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,1,-1,-1,.912789379826288
290100,2,2,1,1,3,2,3,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,2,-1,-1,.962645784711215
290101,2,4,2,2,1,2,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,1,5,5,3,1,4.66666666666667,.62648281216147
290102,1,2,1,2,8,4,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,1,5,2.2,3.16666666666667,1.65979001616636
290103,2,7,3,2,4,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,2.2,3.83333333333333,.749284848154717
290104,2,2,1,1,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,3,2,2.2,3.83333333333333,1.06668041299339
290105,2,7,1,2,4,3,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,1,2.8,4.5,1.19959770804368
290106,2,7,3,2,2,-1,1,3,3,1,4,3,2,3,2,2,-1,-1,-1,-1,2,2.6,2.66666666666667,.45592183021127
290107,2,5,1,1,3,5,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,1,4,3.5,.849438482948557
290108,2,4,1,1,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,3,5,3.4,3.66666666666667,1.24765127244523
290109,1,4,4,2,1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,2,1,2.4,3.83333333333333,.700112623515899
290110,2,1,1,2,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,-1,-1,1.79335914727108
290111,1,2,1,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,2.6,3.33333333333333,1.54818646013779
290112,1,7,3,2,4,3,5,3,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,1,2,5,.379550036137874
290113,2,2,4,1,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,3,5,2.8,3,.784159624635398
290114,1,7,1,2,2,4,4,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,1.2,3.33333333333333,.825742648374183
290115,1,3,1,2,8,4,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,5,1,5,2.2,3.33333333333333,3.18670545018626
290116,1,2,4,2,4,-1,2,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,1.8,3.66666666666667,2.5164050407464
290117,1,3,1,1,3,-1,3,3,-1,-1,-1,-1,-1,-1,-1,3,2,3,4,3,1,2.4,3.83333333333333,1.03316084266859
290118,1,4,1,1,3,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,3,5,2.8,3.83333333333333,1.89116953049368
290119,1,5,1,2,2,5,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,5,4,3,2,2.5,.988723946973577
290120,2,7,3,2,4,-1,1,3,2,4,2,4,2,3,4,5,-1,-1,-1,-1,5,1,3.16666666666667,.649525224423214
290121,1,7,3,2,4,-1,5,2,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,2,-1,-1,.559067689628161
290122,2,1,4,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,5,1,3,3.2,1.66666666666667,1.08576240278889
290123,1,2,4,2,3,-1,4,3,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,2,1,3.2,4.5,1.77131789607179
290125,2,7,4,2,3,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,8,2.4,3.16666666666667,.601137075608171
290126,1,7,1,2,2,-1,1,3,3,2,4,4,2,2,2,2,-1,-1,-1,-1,1,3.6,3.66666666666667,.794530348641841
290127,2,3,1,1,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,4,5,2.6,3.66666666666667,.762958316500072
290128,1,4,2,2,4,-1,5,3,4,3,3,4,3,2,3,5,-1,-1,-1,-1,5,2,3.5,.652352091300741
290129,1,3,1,1,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,1,3.2,2.5,1.49201094421481
290130,1,5,2,2,3,-1,5,3,3,2,1,4,4,3,2,4,-1,-1,-1,-1,4,1.8,4.5,.67022697729176
290131,2,7,1,2,4,-1,2,3,9,9,9,9,9,4,3,1,-1,-1,-1,-1,1,9,9,.959351319866347
290132,1,6,1,2,2,-1,2,3,3,2,2,4,3,4,2,2,-1,-1,-1,-1,2,3,3.16666666666667,.922624799722509
290133,1,3,4,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,8,2.8,2.83333333333333,.883697946002744
290134,2,4,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,2,3.5,.580188601554971
290135,1,5,1,2,1,-1,3,3,4,1,3,2,2,4,2,3,-1,-1,-1,-1,3,2.4,3.5,.846144946645076
290136,2,6,3,2,2,3,5,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,5,1.6,3.5,.512431698412404
290137,1,7,1,2,4,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,9,1,2.4,4.33333333333333,.687940219702806
290138,1,5,1,2,2,4,4,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,3.2,3.83333333333333,1.34045395458352
290139,1,7,1,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,2.8,3.16666666666667,.878423134512472
290140,2,6,1,2,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,4.2,2.66666666666667,1.44649245255959
290141,1,4,2,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,4,1,3,4.16666666666667,.59898843083618
290142,2,4,4,2,3,-1,5,2,3,2,2,3,3,4,3,2,-1,-1,-1,-1,2,2.2,4.33333333333333,.437748572920885
290143,1,3,1,1,1,1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,9,3,2,2.8,3.66666666666667,1.26564044640543
290144,2,3,4,1,2,-1,1,2,8,4,2,3,2,3,4,3,-1,-1,-1,-1,2,2.4,3.5,.592613026976475
290145,2,7,3,1,4,-1,2,3,8,8,8,8,8,8,8,3,-1,-1,-1,-1,1,3,3.16666666666667,1.37349439755207
290146,2,4,1,1,3,1,3,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,1.3603162286588
290147,2,2,1,2,1,-1,1,3,4,2,4,2,1,2,1,3,-1,-1,-1,-1,1,2.8,2.66666666666667,.992562691828752
290148,1,5,1,2,3,5,3,3,-1,-1,-1,-1,-1,-1,-1,3,2,9,9,1,5,5,4.33333333333333,1.16173496275465
290149,2,4,1,1,1,3,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,4,3.33333333333333,1.11445100440691
290150,1,6,3,2,3,-1,5,3,4,2,8,2,3,4,2,3,-1,-1,-1,-1,2,1.8,4,.36326895275025
290151,2,3,1,1,8,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,1,3.4,3.16666666666667,.773204229068268
290152,1,1,4,2,4,4,5,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,2,2.2,3.66666666666667,2.94483465622895
290153,2,3,1,1,2,4,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,.916501920431134
290154,1,4,4,2,4,4,4,3,-1,-1,-1,-1,-1,-1,-1,3,2,4,9,2,5,3.2,4.33333333333333,.656163753698764
290155,1,3,1,1,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,1.09037423572809
290156,2,4,1,2,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,1,1,2.2,4.33333333333333,.842162664766996
290157,2,2,4,1,3,-1,5,3,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5,-1,-1,.559890532054888
290158,1,7,2,2,4,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,5,5,2,1,1.6,3,.682442867793194
290159,2,7,2,2,4,3,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,1,9,2,1,9,4.5,.469792381466242
290160,1,3,1,2,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,4,2,2,1.4,3.16666666666667,1.40802159003982
290161,1,7,1,2,2,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,3.4,3.33333333333333,.775880594862479
290162,2,5,2,2,4,-1,5,3,3,3,8,4,2,2,2,5,-1,-1,-1,-1,5,2,4.16666666666667,.413461218793087
290163,1,1,4,2,3,-1,4,3,2,3,3,3,2,3,3,5,-1,-1,-1,-1,5,2.4,3.33333333333333,3.17490152254734
290164,2,3,4,1,4,1,4,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,2,4,.632184559244131
290165,1,2,1,1,1,-1,1,3,3,1,4,2,2,4,2,2,-1,-1,-1,-1,4,2.2,3,1.43936914730102
290166,2,4,2,1,3,4,5,-1,-1,-1,-1,-1,-1,-1,-1,4,1,3,5,5,1,4,4.33333333333333,.83697846344051
290167,2,1,4,2,3,2,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,3,4.33333333333333,1.44339375519071
290168,1,4,1,2,3,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,2.2,3.33333333333333,1.3013097448005
290169,2,7,3,2,2,3,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,3,2.8,1.33333333333333,.543558765783166
290170,2,7,1,2,2,-1,2,1,3,2,3,4,2,2,2,3,-1,-1,-1,-1,1,4,3.33333333333333,1.09743099552051
290171,1,2,1,1,2,-1,3,1,2,3,2,5,2,4,3,3,-1,-1,-1,-1,2,2,4.5,1.24021071554573
290172,2,2,4,1,3,-1,5,3,4,2,2,3,2,4,2,3,-1,-1,-1,-1,4,2.2,3.33333333333333,.512911135282444
290173,2,7,3,2,3,3,5,3,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,3,2,2.4,3.66666666666667,.617541732378857
290174,1,2,1,1,1,-1,1,3,3,2,2,3,1,3,2,3,-1,-1,-1,-1,2,3.4,4.33333333333333,1.22595226612589
290175,2,3,1,1,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,3,3,1.23731916028484
290176,1,7,2,2,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,3,1,2.4,3.5,.391911862394132
290177,1,2,1,1,3,-1,5,1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,3,3,1.32631226924323
290178,2,4,2,2,2,-1,3,3,4,2,2,3,2,4,2,3,-1,-1,-1,-1,2,3.4,3.5,.468309075288027
290179,2,2,1,1,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,2,2,2.6,2.83333333333333,1.15564140989544
290180,1,7,4,2,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,4,3,4,2.66666666666667,.446564415683782
290181,1,3,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,3,-1,-1,1.24131018592765
290182,2,5,1,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,3,2.6,1.66666666666667,.897984483799571
290183,2,7,2,2,4,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,.591617321094669
290184,2,2,4,1,4,1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,2,5,1,2,8,1.8,2.16666666666667,.7566950727022
290185,2,7,3,2,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,2.8,4.16666666666667,.528963062393336
290186,1,2,1,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,-1,5,2,4,5,4,5,3,4.5,1.28025947939763
290187,2,6,1,2,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,.845149550277067
290188,1,1,4,2,2,-1,5,3,1,2,1,5,2,2,1,2,-1,-1,-1,-1,2,1.6,2.5,2.27334772565203
290189,2,7,1,1,2,-1,1,3,5,2,2,5,4,4,5,2,-1,-1,-1,-1,1,2.6,3.5,2.21835950465059
290190,2,3,2,1,4,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,1,1.6,3.83333333333333,.742362572106664
290191,2,4,1,2,2,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,3,8,3,4,.904610400387933
290192,1,3,1,1,1,-1,1,3,4,1,4,2,2,2,2,3,-1,-1,-1,-1,5,2.2,3,1.28623874428765
290193,2,2,1,2,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,1.15184058048028
290194,2,3,4,1,3,1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,2,5,3,4,.927035293937387
290195,2,4,1,1,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,1.46344111851601
290196,1,6,1,2,3,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,2,1.8,4,.899230973234605
290197,1,7,1,2,2,-1,3,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,-1,-1,.846769545485451
290198,1,4,1,2,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,3,1,3.2,3.66666666666667,.561619592187146
290199,1,3,1,1,3,3,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,1.07962404780772
