Sserial,Rsex,RAgeCat,Married,ChildHh,HEdQual3,eq_inc_quintiles,RClassGp,CCBELIEV,carallow,carreduc,carnod2,cartaxhi,carenvdc,plnenvt,plnuppri,Politics,Voted,actchar,actpol,govnosa2,PartyId2,leftrigh,libauth,WtFactor
293823,2,4,1,2,1,4,1,2,-1,-1,-1,-1,-1,-1,-1,2,1,1,4,2,1,2.4,3.33333333333333,.907489575096987
293824,1,3,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,2,1,4.4,4.83333333333333,.491758033920847
293825,1,7,1,2,3,-1,2,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,2,2.66666666666667,.997607844082375
293826,1,7,3,2,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,3,-1,-1,.386064450381218
293827,1,4,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,5,2,1.6,1.83333333333333,.772646639964733
293828,1,2,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1.38333353161385
293829,1,7,1,2,3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,5,3,1,2.6,3.33333333333333,.74652491363558
293830,1,4,2,1,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,8,2.4,4.16666666666667,.833706283588955
293831,2,3,1,1,1,2,2,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,6,3,2.66666666666667,1.25619547816289
293832,1,4,2,2,2,5,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,1,3.2,3.83333333333333,.540048492444021
293833,2,4,1,1,1,3,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,2,1.2,2.83333333333333,1.39070367412474
293834,1,4,1,2,2,5,3,3,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,2,2.8,3.33333333333333,1.71036410616581
293835,2,2,4,1,2,-1,5,3,3,3,2,4,2,3,2,5,-1,-1,-1,-1,5,2.4,4,.48538905247241
293836,1,2,1,2,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,2,1,2.4,3.83333333333333,1.70774407188248
