Sserial	WtFactor	RSex	RAgeCat	eq_inc_quintiles	RClassGp	HEdQual3	Married	ChildHh	skipmeal	paptype	SMNews	PartyId2	Politics	SocTrust	Spend1	Dole	TaxSpend	MuchPov	Poverty1	Poverty2	NatFrEst	incdiffs	welfare2	leftrigh	libauth
310046	.818578046437275	1	7	-1	1	2	1	2	1	1	8	1	1	-1	-1	2	3	1	2	2	25	2	2.5	2.6	4.33333333333333
310047	1.20642888162214	2	1	-1	2	2	1	1	4	0	4	5	4	-1	-1	1	3	2	2	1	40	2	2.625	2.2	4.33333333333333
310048	.978990129115073	2	4	1	5	3	1	2	-1	0	2	2	4	1	3	1	2	2	2	2	30	-1	2.625	2.8	4.5
310049	.481587985543883	2	3	2	2	8	2	1	1	0	8	8	3	-1	-1	3	3	2	2	1	10	2	2.375	2.4	4.66666666666667
310050	.942768705857527	1	4	4	1	3	1	1	-1	0	5	1	3	1	3	2	3	2	2	2	25	-1	-1	-1	-1
310051	.3961715194384	2	4	5	1	2	2	2	1	0	8	1	2	-1	-1	2	3	2	1	1	30	3	3.75	3.8	4.16666666666667
310052	.857354402959367	1	6	2	1	2	1	2	-1	0	2	2	2	-1	-1	1	3	2	1	1	5	-1	-1	-1	-1
310053	.750512295422574	1	3	-1	-1	1	4	2	-1	0	1	5	4	2	7	3	4	1	1	1	50	-1	3	2.4	3
310054	1.13092985580313	2	7	1	1	4	1	2	1	1	8	4	4	-1	-1	2	2	1	2	2	40	2	2.625	2.8	3.5
310055	.427375568731332	1	5	3	2	1	4	2	1	0	8	3	3	-1	-1	1	3	2	1	1	20	1	2.75	2.4	3.66666666666667
310056	.637248428825041	1	7	1	5	8	4	2	-1	1	8	2	4	2	4	1	2	2	1	1	15	-1	-1	-1	-1
310057	1.09244627394053	2	2	5	5	3	1	2	-1	0	1	5	5	2	3	3	2	2	2	2	90	-1	3.125	2.6	3.66666666666667
310058	1.16135307996186	2	3	-1	5	4	1	1	1	0	8	5	4	-1	-1	1	3	2	2	1	5	8	1.625	1.8	3.83333333333333
310059	1.66745199683092	1	3	3	5	1	1	1	1	0	1	5	4	-1	-1	2	3	1	2	1	50	2	4.125	1.8	4.33333333333333
310060	.558535680403185	2	7	-1	5	4	2	2	4	1	8	1	2	-1	-1	1	3	2	8	1	50	2	9	9	4.83333333333333
310061	.490162506725127	2	7	-1	2	3	3	2	1	1	8	1	2	-1	-1	8	3	2	2	2	20	2	3.125	2.4	3.66666666666667
310062	.867365170190287	1	3	-1	1	1	1	1	1	0	8	2	3	-1	-1	3	2	2	2	1	40	1	3.375	2.8	3.33333333333333
310063	.897052594830065	2	3	4	2	2	1	2	1	0	2	5	5	-1	-1	2	2	2	2	2	70	3	3.625	2.4	4.33333333333333
310064	.695254338705584	2	2	-1	2	3	4	1	1	0	2	5	3	-1	-1	1	2	1	2	1	20	2	3	2.8	3
310065	.559950047155951	2	5	4	5	3	4	2	-1	2	4	1	3	1	3	8	3	2	2	2	5	-1	1.75	3	3.16666666666667
310066	2.51180632726465	1	2	-1	2	2	4	2	1	0	1	8	2	-1	-1	9	9	8	2	2	998	8	9	9	9
310067	1.01791889904445	1	7	1	3	4	1	2	-1	0	8	1	2	-1	-1	2	2	2	2	2	998	-1	-1	-1	-1
310068	.784792518235665	1	7	4	5	4	1	2	-1	1	8	2	3	1	3	1	3	2	2	1	65	-1	2.25	1	3.66666666666667
310069	.463850519886966	2	4	5	1	2	2	2	-1	0	2	2	2	2	3	1	4	2	2	1	60	-1	-1	-1	-1
310070	.51635462097471	2	4	4	2	1	4	2	1	0	2	1	2	-1	-1	2	2	1	2	2	79	2	3.625	2.4	4.16666666666667
310071	.323028195489622	1	7	5	1	2	2	2	1	0	8	8	4	-1	-1	3	3	1	2	1	80	2	3.125	2.2	3.83333333333333
310072	.910485926879252	1	7	4	3	4	1	2	1	0	8	1	5	-1	-1	2	3	2	2	2	85	1	3	2.8	3.33333333333333
310073	1.09421206917417	1	6	-1	5	2	2	1	-1	4	8	5	4	8	1	2	3	2	2	2	0	-1	3.125	2	4.33333333333333
310074	1.02477095094441	2	7	-1	5	4	1	2	-1	1	8	5	4	2	3	1	2	2	2	1	80	-1	3	2.4	3.66666666666667
310075	1.08986253911565	2	1	-1	5	3	4	2	1	0	8	1	3	-1	-1	2	3	1	2	2	50	2	3.5	3.4	3.33333333333333
310076	.394545807330316	2	5	4	1	2	2	2	1	0	2	2	2	-1	-1	3	3	2	1	1	10	2	2	1.4	3.16666666666667
310077	1.74950751862384	2	2	1	1	1	4	2	1	0	2	1	2	-1	-1	2	2	2	2	1	998	2	3.875	2.8	4.33333333333333
310078	.533597175699413	2	7	-1	5	4	2	2	-1	1	8	2	2	2	7	1	3	2	1	1	20	-1	3.375	2.4	4.5
310079	1.38323140075771	2	2	2	1	1	1	2	1	2	2	3	2	-1	-1	1	3	2	1	1	5	2	1.875	2.6	1.83333333333333
310080	1.06142241981749	2	3	-1	1	1	1	2	1	2	3	1	1	-1	-1	1	3	1	2	2	10	1	3.375	3	2.83333333333333
310081	1.18589831357457	2	7	-1	5	3	1	2	9	1	8	2	3	-1	-1	2	3	2	2	2	60	1	9	9	9
310082	2.93158499000928	2	2	4	1	1	4	2	1	1	1	2	1	-1	-1	1	3	2	1	1	5	1	1.875	1.8	3.16666666666667
310083	.813283751032538	1	7	-1	1	3	1	2	1	0	8	1	3	-1	-1	2	2	2	2	2	20	4	3.125	4.2	4
310084	1.19480195129831	1	5	3	5	2	3	1	-1	0	5	4	4	2	7	2	1	2	1	1	75	-1	3.25	3.2	4.16666666666667
310085	.643737494536444	1	5	5	1	1	4	2	-1	0	8	3	1	1	2	3	3	1	2	2	10	-1	2.875	1.4	3.66666666666667
310086	.559054232101127	1	6	5	1	1	2	2	-1	0	2	2	1	1	3	2	3	2	1	1	5	-1	1.125	1.8	1.16666666666667
